Latitude,Longitude,Depth(m)
47.1316591478261,-122.558861164699,19.53
47.131702059972,-122.558906078695,19.67
47.1317388417837,-122.558986923889,20.07
47.1317878841593,-122.559013872287,20.12
47.1318246659112,-122.559058786283,20.14
47.1318491870649,-122.559112683079,20.48
47.1318982293382,-122.559175562674,20.67
47.131947271566,-122.559247425068,21.04
47.1319779229352,-122.559301321864,21.23
47.1320147045548,-122.55934623586,21.49
47.1320514861489,-122.559400132656,21.15
47.1320882677173,-122.559454029452,21.85
47.1321250492602,-122.559516909047,21.62
47.1321618307774,-122.559570805842,22.42
47.1321986122691,-122.559633685437,22.67
47.1322353937351,-122.559687582233,22.86
47.1322721751756,-122.559741479029,22.50
47.1323089565904,-122.559804358624,22.82
47.1323457379797,-122.55985825542,23.09
47.1323825193433,-122.559921135015,23.30
47.1324193006814,-122.55998401461,23.51
47.1324560819939,-122.560037911405,23.66
47.1324928632808,-122.560091808201,23.83
47.1325235143336,-122.560154687796,23.93
47.1325725559812,-122.560190618993,24.02
47.1326154673854,-122.56023553299,24.12
47.1326522485614,-122.560289429785,24.15
47.132695159901,-122.560343326581,24.23
47.1327319410215,-122.560406206176,24.21
47.1327625919357,-122.560469085771,24.27
47.1327932428321,-122.560522982567,24.31
47.1328238937107,-122.560585862162,24.25
47.1328545445716,-122.560648741757,24.29
47.1328790652475,-122.560702638553,24.36
47.1328913255811,-122.560765518148,24.27
47.1328974557469,-122.560828397743,24.34
47.1328913255811,-122.560900260137,24.38
47.13291584624,-122.560972122531,24.33
47.1329403668874,-122.561035002126,24.36
47.1329648875235,-122.56111584732,24.38
47.1329832779931,-122.561187709714,24.36
47.1330200589131,-122.561259572108,24.48
47.1330445795122,-122.561313468904,24.40
47.133075230245,-122.5613583829,24.50
47.133112011101,-122.561412279696,24.44
47.1331426617948,-122.561475159291,24.57
47.1331733124708,-122.561538038886,24.50
47.1332100932585,-122.561582952883,24.50
47.1332468740206,-122.561636849678,24.59
47.1332775246362,-122.561690746474,24.61
47.133308175234,-122.561753626069,24.52
47.133351086041,-122.561798540066,24.57
